candidate_type,kind,prefecture,facility,address,treatment,treatment_class,existing_facility_name,existing_address,same_address_plan_id,same_address_facility,facility_name_similarity,duplicate_current_rows,document_urls
existing_facility_new_plan,3,大阪府,医療法人恒晴会　心斎橋ペインクリニック,大阪市中央区西心斎橋一丁目４番５号御堂筋ビル8階,筋・腱・靭帯の損傷および慢性炎症に対する自家多血小板血漿注入療法,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2302002/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2302002/5/1|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2302002/5/2
new_facility,2,大阪府,医療法人想千あわ整形外科クリニック,大阪市西区新町4-6-23　OASISクリニックモール2F,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2404012/5/0
new_facility,2,大阪府,医療法人新和会　朝田整形外科,河内長野市西之山町10-29,変形性関節症に対する多血小板血漿を用いた再生医療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2302007/5/0
new_facility,3,大阪府,医療法人桂礼会 小阪医院,東大阪市小阪本町一丁目9番13号,自家多血小板血漿(Platelet-rich plasma：PRP)を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節腔外に限る）,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2408018/5/0
new_facility,2,大阪府,医療法人桂礼会 小阪医院,東大阪市小阪本町一丁目9番13号,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2408019/5/0
new_facility,2,大阪府,医療法人桜希会 東朋八尾健診クリニック,八尾市光町1丁目26番地 メルベーユ光町 101,変形性膝関節症に対する多血小板血漿関節内注射治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2405011/5/0
new_facility,2,大阪府,"医療法人槻陽会
高槻整形外科・再生医療クリニック",⾼槻市城北町2丁⽬2-3 リュドール⾼槻4階,自己脂肪由来幹細胞を用いたフレイルおよびプレフレイルの治療（アンチエイジング療法）,脂肪由来幹細胞,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2603001/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2603001/5/1
new_facility,2,大阪府,"医療法人槻陽会
高槻整形外科・再生医療クリニック",⾼槻市城北町2丁⽬2-3 リュドール⾼槻4階,自己脂肪由来幹細胞を用いた関節疾患の治療,脂肪由来幹細胞,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2603003/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2603003/5/1
new_facility,3,大阪府,医療法人槻陽会　高槻整形外科・再生医療クリニック,⾼槻市城北町2-2-3 リュドール⾼槻４階,自己多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜など関節外の軟部組織治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2604023/5/0
new_facility,2,大阪府,医療法人永仁会　千里ペインクリニック,豊中市少路1丁目7番18号 アマニカス1階,慢性疼痛症に対する自己脂肪由来幹細胞の関節腔内投与による治療,脂肪由来幹細胞,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2501002/5/0
