global_candidate_count	repo_facility_count	batch	batch_index	facility_key	prefecture	facility	mhlw_plan_codes	treatment_classes	source_generations	baseline_products	products_found	explicit_makers	validated_inferred_makers	unvalidated_products	final_makers	maker_evidence_type	safe_resolved	pdf_count	attempts	retry_403	context_resets_so_far	document_urls	http_statuses	evidence_json
366	812	10	1	兵庫県|あまのペインクリニック	兵庫県	あまのペインクリニック	01E2110005	PRP	v40_queue							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2110005/5/0	01E2110005:0:200|01E2110005:1:404|01E2110005:2:404	[]
366	812	10	2	埼玉県|医療法人川久保病院	埼玉県	医療法人 川久保病院	02C2001042	PRP	v41							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2001042/5/0	02C2001042:0:200|02C2001042:1:404|02C2001042:2:404	[]
366	812	10	3	大阪府|医療法人天野整形外科	大阪府	医療法人天野整形外科	01E2310023|01E2310024	PRP	v41							NONE	NO	2	6	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2310023/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2310024/5/0	01E2310023:0:200|01E2310023:1:404|01E2310023:2:404|01E2310024:0:200|01E2310024:1:404|01E2310024:2:404	[]
366	812	10	4	広島県|医療法人社団日本鋼管福山病院	広島県	医療法人社団 日本鋼管福山病院	03F2506005	PRP	v40_queue							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/03F2506005/5/0	03F2506005:0:200|03F2506005:1:404|03F2506005:2:404	[]
366	812	10	5	東京都|一般社団法人健寿会表参道イーグルクリニック	東京都	一般社団法人健寿会 表参道イーグルクリニック	02C2410002|02C2410004	PRP|脂肪由来幹細胞	v40_queue							NONE	NO	2	6	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2410002/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2410004/5/0	02C2410002:0:200|02C2410002:1:404|02C2410002:2:404|02C2410004:0:200|02C2410004:1:404|02C2410004:2:404	[]
366	812	10	6	東京都|医療法人社団熊野前医院たいら整形外科	東京都	医療法人社団熊野前医院 たいら整形外科	01C2503037|01C2503056	PRP	v40_queue|v41	PRP						NONE	NO	2	6	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503037/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503056/5/0	01C2503037:0:200|01C2503037:1:404|01C2503037:2:404|01C2503056:0:200|01C2503056:1:404|01C2503056:2:404	[]
366	812	10	7	東京都|葛西駅前あおぞら整形外科クリニック	東京都	葛西駅前あおぞら整形外科クリニック	01C2506025|01C2507072	PRP	v40_queue|v41							NONE	NO	2	6	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2506025/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2507072/5/0	01C2506025:0:200|01C2506025:1:404|01C2506025:2:404|01C2507072:0:200|01C2507072:1:404|01C2507072:2:404	[]
366	812	10	8	神奈川県|医療法人社団栄親会横浜整形外科クリニック	神奈川県	医療法人社団栄親会 横浜整形外科クリニック	03C2111004	PRP	v41	PRP						NONE	NO	1	3	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2111004/5/0	03C2111004:0:200|03C2111004:1:404|03C2111004:2:404	[]
366	812	10	9	長崎県|チカラ整形外科スポーツリウマチクリニック	長崎県	チカラ整形外科スポーツリウマチクリニック	01G2311007	PRP	v41							NONE	NO	1	3	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01G2311007/5/0	01G2311007:0:200|01G2311007:1:404|01G2311007:2:404	[]
366	812	11	1	兵庫県|かみはらペインクリニック	兵庫県	かみはらペインクリニック	01E2412007	PRP	v40_queue							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2412007/5/0	01E2412007:0:200|01E2412007:1:404|01E2412007:2:404	[]
366	812	11	2	埼玉県|医療法人元志会川越TACA川越下肢静脈瘤膝関節クリニック	埼玉県	医療法人元志会  川越TACA川越下肢静脈瘤膝関節クリニック	03C2607036	PRP	v41							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2607036/5/0	03C2607036:0:200|03C2607036:1:404|03C2607036:2:404	[]
366	812	11	3	大阪府|医療法人想千あわ整形外科クリニック	大阪府	医療法人想千あわ整形外科クリニック	03E2404012	PRP	v41							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2404012/5/0	03E2404012:0:200|03E2404012:1:404|03E2404012:2:404	[]
366	812	11	4	広島県|医療法人社団成和会うたのはら整形外科クリニック	広島県	医療法人社団成和会 うたのはら整形外科クリニック	01F2212005	PRP	v40_queue							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2212005/5/0	01F2212005:0:200|01F2212005:1:404|01F2212005:2:404	[]
366	812	11	5	東京都|一般社団法人再健会シン・整形外科代々木上原	東京都	一般社団法人再健会 シン・整形外科 代々木上原	01C2603035	PRP	v41							NONE	NO	3	5	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603035/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603035/5/1|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603035/5/2	01C2603035:0:200|01C2603035:1:200|01C2603035:2:200|01C2603035:3:404|01C2603035:4:404	[]
366	812	11	6	東京都|医療法人社団癒合会高輪和合クリニック	東京都	医療法人社団癒合会 高輪和合クリニック	01C2407028	PRP	v41		MyCells			MyCells		PRODUCT_ONLY_UNVALIDATED	NO	1	3	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407028/5/0	01C2407028:0:200|01C2407028:1:404|01C2407028:2:404	"[{""code"": ""01C2407028"", ""idx"": 0, ""url"": ""https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407028/5/0"", ""page"": 3, ""type"": ""product"", ""hit"": ""MyCells"", ""context"": ""担当医が不適当と判断した患者様 (2)治療の方法 この治療は、1末梢血の採血、2PRP 作製、3PRP 注射投与の流れで行われます。 1 採血 本治療提供当日、診察室1~4において、 PRP 抽出キット(Mycells PRP キット、 Kaylight 社製)のスピッツに翼状針付採血ホルダーを使用し、患者の腕の末梢血管より、 約 11ml(スモールスピッツの場合)または約 22ml(ラージスピッツの場合)ほど採血して キャップを締めます。スピッツを 20~30 回程度、転倒させて混ぜます。 2 PRP 作成 PRP 調整室において、スピッツを遠心分離機にセットし""}]"
366	812	11	7	東京都|順天堂大学医学部附属練馬病院	東京都	順天堂大学医学部附属練馬病院	03C2308020|03C2308021	PRP	v41	PRP						NONE	NO	2	6	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2308020/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2308021/5/0	03C2308020:0:200|03C2308020:1:404|03C2308020:2:404|03C2308021:0:200|03C2308021:1:404|03C2308021:2:404	[]
366	812	11	8	神奈川県|医療法人社団皆吉会プライムコーストみなとみらいクリニック	神奈川県	医療法人社団皆吉会プライムコーストみなとみらいクリニック	03C2504060|03C2504061	PRP	v41							NONE	NO	2	6	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2504060/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2504061/5/0	03C2504060:0:200|03C2504060:1:404|03C2504060:2:404|03C2504061:0:200|03C2504061:1:404|03C2504061:2:404	[]
366	812	11	9	長野県|Aiクリニック整形外科リハビリテーション科	長野県	Aiクリニック整形外科リハビリテーション科	01C2308062|01C2308063	PRP	v40_queue							NONE	NO	2	6	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2308062/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2308063/5/0	01C2308062:0:200|01C2308062:1:404|01C2308062:2:404|01C2308063:0:200|01C2308063:1:404|01C2308063:2:404	[]
366	812	12	1	兵庫県|たちはら整形外科・肩とスポーツのクリニック	兵庫県	たちはら整形外科・肩とスポーツのクリニック	01E2402021|01E2402024	PRP	v41							NONE	NO	2	6	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2402021/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2402024/5/0	01E2402021:0:200|01E2402021:1:404|01E2402021:2:404|01E2402024:0:200|01E2402024:1:404|01E2402024:2:404	[]
