plan_id	mhlw_plan_code	facility_id_source	prefecture	facility	address	category	treatment	treatment_class	price_status	evidence_url	v41_lane	scope_status
V41_01C2608003	01C2608003	V41F4B3F4A1717	東京都	医療法人社団森羅　北砂2丁目だい整形外科	江東区北砂２丁目8-5　ルナパレス1F	第二種	自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた慢性関節炎の治療（関節内組織）	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2608003/5/0	B	IN_SCOPE
V41_01C2608004	01C2608004	V41F4B3F4A1717	東京都	医療法人社団森羅　北砂2丁目だい整形外科	江東区北砂２丁目8-5　ルナパレス1F	第三種	自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2608004/5/0	C	IN_SCOPE
V41_01C2602025	01C2602025	V41F1430F8C805	東京都	医療法人社団正貴会　いくこ皮フ科クリニック	練馬区上石神井1丁目14番4号 エソール2階B号室	第二種	自己脂肪組織由来幹細胞（ASCs）を用いた変形性関節症の治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602025/5/0	D	IN_SCOPE
V41_02C2507007	02C2507007	V41FD366B7B697	東京都	医療法人社団洪泳会 東京洪誠病院	足立区西新井栄町一丁目１７番２５号	第二種	多血小板血漿（PRP）の投与による変形性関節症治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2507007/5/0	B	IN_SCOPE
V41_02C2507008	02C2507008	V41F7E46E1F3EB	東京都	医療法人社団洪泳会 東京洪誠病院	足立区西新井栄町1-17-25	第三種	多血小板血漿(PRP)の投与によるスポーツ外傷を含む筋、腱、靱帯損傷治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2507008/5/0	A	IN_SCOPE
V41_03C2510027	03C2510027	V41F670C60C80C	東京都	医療法人社団活寿会  東京ひざ関節症クリニック銀座院	中央区銀座5-3-12  壹番館ビル 7F	第二種	脂肪組織由来幹細胞（adipose-derived mesenchymal stem cell）の投与による関節治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2510027/5/0	C	IN_SCOPE
V41_02C2602018	02C2602018	V41F8C69D7C090	東京都	医療法人社団活寿会　東京ひざ関節症クリニック新宿院	新宿区西新宿1-4-11　宝ビル9F	第二種	脂肪組織由来幹細胞（adipose-derived mesenchymal stem cell）の投与による関節治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2602018/5/0	D	IN_SCOPE
V41_01C2503056	01C2503056	V41FA0C1E25CE8	東京都	医療法人社団熊野前医院　たいら整形外科	荒川区東尾久4-3-9	第三種	自家多血小板血漿（PRP）を用いた筋腱付着部およびスポーツ障害（筋・腱・靭帯）の治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503056/5/0	A	IN_SCOPE
V41_01C2407028	01C2407028	V41FA61A6FC986	東京都	医療法人社団癒合会　高輪和合クリニック	東京都港区高輪4丁目22番10号 小川商事ビル2階201号	第二種	自己多血小板血漿（PRP）による変形性関節症の治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407028/5/0	B	IN_SCOPE
V41_01C2509061	01C2509061	V41F28564D27AE	東京都	医療法人社団研裕会 紀尾井町プラザクリニック歯科・美容外科	千代田区紀尾井町3番12号紀尾井町ビル 2階	第二種	変形性膝関節症に対する自己脂肪由来間葉系幹細胞治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509061/5/0	C	IN_SCOPE
V41_01C2505053	01C2505053	V41F28564D27AE	東京都	医療法人社団研裕会　紀尾井町プラザクリニック歯科・美容外科	千代田区紀尾井町3番12号　紀尾井町ビル　2階	第三種	多増殖因子血漿（PRGF）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節腔外に限る）	PRGF	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2505053/5/0	D	IN_SCOPE
V41_02C2608020	02C2608020	V41FD574F41EE5	東京都	医療法人社団福至会　SPES CLINIC TOKYO BAY 晴海中央医院	中央区晴海2-1-40 晴海プライムスクエア11F	第二種	自己脂肪由来幹細胞を用いた変形性関節症の治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2608020/5/0	A	IN_SCOPE
V41_02C2002036	02C2002036	V41F201F15B875	東京都	医療法人社団秀博会BTRアーツ銀座クリニック	港区新橋2-20-15 新橋駅前ビル1号館201	第二種	自己脂肪由来間葉系幹細胞を用いた変形性膝関節症治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2002036/5/0	B	IN_SCOPE
V41_02C2001047	02C2001047	V41FF8834ABE27	東京都	医療法人社団秀慈会　リバーシティすずき整形外科	中央区佃1-11-8 リバーシティ21 ピアウエストスクエア2階	第二種	多血小板血漿抽出液による関節症治療	APS/PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2001047/5/0	C	IN_SCOPE
V41_01C2503047	01C2503047	V41F5965CAC44C	東京都	医療法人社団紘朗会  麻布皮フ科クリニック	港区南麻布4丁目14-6   プレシャス18 6階	第二種	自家培養脂肪由来幹細胞を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療  （関節外の軟部組織）	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503047/5/0	D	IN_SCOPE
V41_01C2505049	01C2505049	V41F5965CAC44C	東京都	医療法人社団紘朗会  麻布皮フ科クリニック	港区南麻布4丁目14-6   プレシャス18 6階	第二種	自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた慢性関節炎の治療（関節内組織）	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2505049/5/0	A	IN_SCOPE
V41_01C2402046	01C2402046	V41F5965CAC44C	東京都	医療法人社団紘朗会　麻布皮フ科クリニック	港区南麻布4丁目14-6   プレシャス18 6階	第二種	自家培養脂肪由来幹細胞を用いた変形性関節症治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2402046/5/0	B	IN_SCOPE
V41_01C2005002	01C2005002	V41FBA28ECFABC	東京都	医療法人社団育生会　私のクリニック目白	豊島区目白1-4-1 ホテルメッツ目白1F	第三種	自己多血小板血漿（PRP)を用いた、関節周囲の痛みの治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2005002/5/0	C	IN_SCOPE
V41_01C2207058	01C2207058	V41FC7511460C2	東京都	医療法人社団舜成会　  西国立整形外科クリニック	立川市羽衣町 2-49-7	第三種	自己多血小板血漿（PRP）を用いた筋・腱・靭帯の損傷組織修復療法	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2207058/5/0	D	IN_SCOPE
V41_01C2006008	01C2006008	V41F6F9302362B	東京都	医療法人社団良徳会　RCクリニック	渋谷区神宮前三丁目42番2号　VORT外苑前Ⅲ地下１階	第二種	自己脂肪組織由来幹細胞を用いた変形性関節症治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2006008/5/0	A	IN_SCOPE
V41_01C2602027	01C2602027	V41F939DCD9EFD	東京都	医療法人社団色空会　お茶の水整形外科機能リハビリテーションクリニック	千代田区神田駿河台4-1-2 ステラお茶の水ビル2階3階4階5階	第二種	自己多血小板血漿(PRP)療法（治療対象：関節炎・変形性関節症）	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602027/5/0	B	IN_SCOPE
V41_01C1902050	01C1902050	V41F820A31812F	東京都	医療法人社団菫会　目黒病院	目黒区中央町２-１２-６	第三種	自己多血小板血漿(PRP)を用いた整形外科領域における軟部組織治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C1902050/5/0	D	IN_SCOPE
V41_01C1906008	01C1906008	V41F820A31812F	東京都	医療法人社団菫会　目黒病院	目黒区中央町2-12-6	第二種	多血小板血漿（Platelet-rich plasma：PRP）を用いた変形性関節症治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C1906008/5/0	C	IN_SCOPE
V41_02C2601007	02C2601007	V41FF3BA31EA8E	東京都	医療法人社団裕健会 神田クリニック	千代田区内神田2-4-1  神田メディカルビル 2F-8F	第二種	自己脂肪由来幹細胞を用いた変形性関節症の治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601007/5/0	A	IN_SCOPE
V41_02C2407061	02C2407061	V41F6064592708	東京都	医療法人社団裕健会 神田駅東口クリニック	千代田区鍛冶町2-8-6  メディカルプライム神田 2F	第二種	自己脂肪由来幹細胞を用いた変形性関節症の治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2407061/5/0	B	IN_SCOPE
V41_02C2509032	02C2509032	V41F2982F76FBC	東京都	医療法人社団誠心会  Re:Born Clinic 銀座院	中央区銀座1-15-4　銀座一丁目ビル10F	第二種	自己脂肪由来幹細胞を用いた変形性関節症の治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2509032/5/0	D	IN_SCOPE
V41_02C2509040	02C2509040	V41F2982F76FBC	東京都	医療法人社団誠心会  Re:Born Clinic 銀座院	中央区銀座1-15-4　銀座一丁目ビル10F	第二種	多血小板血漿を用いた変形性関節症の治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2509040/5/0	C	IN_SCOPE
V41_02C2509048	02C2509048	V41F2982F76FBC	東京都	医療法人社団誠心会  Re:Born Clinic 銀座院	中央区銀座1-15-4　銀座一丁目ビル10F	第二種	自己脂肪由来幹細胞を用いた変形性関節症の治療（骨芽前駆細胞誘導Ver.）	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2509048/5/0	A	IN_SCOPE
V41_02C2501001	02C2501001	V41F48B8D28D45	東京都	医療法人社団豊饒会  RDクリニック東京銀座	中央区銀座7-9-17  銀座ヤマトビル7F	第二種	多血小板血漿を用いた変形性関節症治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2501001/5/0	B	IN_SCOPE
V41_02C2512006	02C2512006	V41F48B8D28D45	東京都	医療法人社団豊饒会RDクリニック東京銀座	中央区銀座7-9-17　銀座ヤマトビル7F	第二種	自家脂肪由来幹細胞を用いた変形性関節症治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2512006/5/0	C	IN_SCOPE
V41_01C2507054	01C2507054	V41F614F3C0B9E	東京都	医療法人社団貴陽会  ラカンクリニック東京 麻布台	港区麻布台1丁目3番1号  麻布台ヒルズ森JPタワー4階	第二種	自己多血小板血漿(Platelet-Rich Plasma：PRP)を用いた変形性関節症の治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2507054/5/0	D	IN_SCOPE
V41_01C2507055	01C2507055	V41F614F3C0B9E	東京都	医療法人社団貴陽会  ラカンクリニック東京 麻布台	港区麻布台1丁目3番1号  麻布台ヒルズ森JPタワー4階	第三種	自己多血小板血漿(Platelet-Rich Plasma：PRP)を用いた筋損傷・腱障害・靭帯損傷(関節外に限る)の治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2507055/5/0	A	IN_SCOPE
V41_01C2509044	01C2509044	V41F614F3C0B9E	東京都	医療法人社団貴陽会  ラカンクリニック東京 麻布台	港区麻布台1丁目3番1号  麻布台ヒルズ森JPタワー4階	第二種	自己脂肪由来幹細胞を用いた変形性関節症の治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509044/5/0	B	IN_SCOPE
V41_01C2409068	01C2409068	V41F4EB1AFF117	東京都	医療法人社団進誠会  豪徳寺整形外科クリニック	世田谷区豪徳寺2丁目31-8ハイム和泉102	第二種	自家多血小板血漿(Platelet-rich plasma:PRP)を用いた  慢性関節炎の治療(関節内組織)	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2409068/5/0	C	IN_SCOPE
V41_01C2409070	01C2409070	V41F4EB1AFF117	東京都	医療法人社団進誠会  豪徳寺整形外科クリニック	世田谷区豪徳寺2丁目31-8ハイム和泉102	第三種	自家多血小板血漿(Platelet-rich plasma:PRP)を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療(関節腔外に限る)	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2409070/5/0	D	IN_SCOPE
