match_type,scope,kind,prefecture,facility,address,treatment,best_score,nearest_plan_id,nearest_facility,nearest_treatment,score,matched_plan_id,matched_facility,matched_treatment,document_urls
possible_missing,strong_msk,2,東京都,銀座ALIVIO clinic,"中央区銀座5-5-18 
銀座藤小西ビル4F",自家脂肪由来幹細胞を用いた変形性関節症治療,0.6615,P00241,医療法人社団 順清会 Total Cell Clinic TOKYO,自己脂肪由来間葉系幹細胞を用いた変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2411046/5/0
possible_missing,strong_msk,2,東京都,銀座YRクリニック,中央区銀座六丁目５番-１３号Ｃｓｓ Ｂｕｉｌｄｉｎｇ Ⅲ 7F,自家多血小板血漿(PRP)を用いた慢性関節炎治療,0.6888,P00214,お茶の水セルクリニック,多血小板血漿（PRP）を用いた変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2606016/5/0
possible_missing,strong_msk,2,東京都,銀座よしえクリニック都立大院,目黒区平町1-23-14EMON,自己脂肪組織由来間葉系幹細胞（ADSC）を用いた関節治療,0.6051,P00237,TOKYOひまわりクリニック,自己脂肪由来間葉系幹細胞を用いた変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2601047/5/0
possible_missing,strong_msk,2,東京都,銀座聖愛わクリニック,中央区銀座五丁目10番2号　GINZA MISS PARIS 10階,膝関節症に対する自己脂肪由来幹細胞による治療,0.6344,P00279,銀座YRクリニック,変形性関節症・腰痛症・末梢神経障害などの疼痛に対する自己脂肪由来間葉系幹細胞の静脈注射治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602054/5/0
possible_missing,strong_msk,2,東京都,阿部整形外科クリニック,三鷹市野崎3-3-4-101,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,0.6713,P00249,医療法人社団平成会 たいら整形外科クリニック,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2503035/5/0
possible_missing,strong_msk,2,東京都,青海100クリニック,東京都江東区青海2-4-32　タイム24ビル1階,関節周囲炎の緩和を目的とした自己脂肪由来間葉系間質細胞治療(局所投与),0.5657,P00259,医療法人社団珠光会 HASUMI免疫クリニック,慢性筋骨格系疼痛の緩和を目的とした自己脂肪由来間葉系幹細胞治療（局所投与）,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2508039/5/0
possible_missing,strong_msk,2,東京都,順天堂大学医学部附属練馬病院,練馬区高野台3−1−10,自家多血小板血漿(Platelet-rich plasma : PRP)を用いた関節内損傷に対する治療,0.5489,P00264,慶應義塾大学病院,自己多血小板血漿（PRP）を用いた関節内組織損傷に対する治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2308020/5/0
possible_missing,strong_msk,2,東京都,順天堂大学医学部附属順天堂医院,文京区本郷3-1-3,自家脂肪組織由来幹細胞（ASC）の投与による変形性関節症治療,0.6844,P00225,医療法人社団創明会 日本橋整形外科クリニック,自家脂肪組織由来幹細胞（ASC）の投与による変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2609013/5/0
possible_missing,strong_msk,2,東京都,順天堂大学医学部附属順天堂医院,文京区本郷3-1-3,自己多血小板血漿(PRP)療法（治療対象：関節炎・変形性関節症）,0.6884,P00322,医療法人社団井上 いのうえ整形外科,自己多血小板血漿（PRP）療法（治療対象：関節炎・変形性関節症）,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2609017/5/0
possible_missing,strong_msk,2,東京都,順天堂大学医学部附属順天堂東京江東高齢者医療センター,江東区新砂3-3-20,多血小板血漿（PRP）の投与による変形性関節症治療,0.7128,P00256,医療法人社団活寿会 東京ひざ関節症クリニック銀座院,多血小板血漿（PRP）の投与による変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2502002/5/0
possible_missing,strong_msk,2,神奈川県,Okuno Clinic.横浜 センター南,横浜市都筑区茅ヶ崎中央36-6　チサンイン横浜都筑2F,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,0.3733,P00194,医療法人社団梅沢医院 梅沢整形外科,自家多血小板血漿（PRP）を用いた慢性関節炎の治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2607012/5/0
possible_missing,strong_msk,2,神奈川県,SBC整形外科クリニック横浜駅前院,"横浜市西区北幸1-4-1
横浜天理ビル11階",多血小板血漿（PRP）の投与による変形性関節症治療,0.8038,P00198,横浜整形外科クリニック,多血小板血漿（PRP）による変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2604033/5/0
possible_missing,strong_msk,2,神奈川県,YSA スポーツと医科学のクリニック 横浜関内,横浜市中区港町1-1-1BASEGATE横浜関内タワー8階,自家多血小板血漿（PRP）を用いた関節内組織損傷に対する治療,0.5555,P00190,医療法人社団 三朋会 嶺整形外科クリニック,多血小板血漿（PRP）を用いた整形外科疾患に対する治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602018/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602018/5/1
possible_missing,strong_msk,2,神奈川県,いしずえ整形外科,"横浜市戸塚区戸塚町99
ポルテさくら2F",多血小板血漿（PRP）の投与による変形性関節症治療,0.7062,P00198,横浜整形外科クリニック,多血小板血漿（PRP）による変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C1910113/5/0
possible_missing,strong_msk,2,神奈川県,さこ整形外科・リハビリテーション科,秦野市大秦町2-16クリエイトエス・ディー秦野大秦町店2F,自家多血小板血漿（PRP）を用いた関節内組織損傷に対する治療,0.5273,P00194,医療法人社団梅沢医院 梅沢整形外科,自家多血小板血漿（PRP）を用いた慢性関節炎の治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2605011/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2605011/5/1
possible_missing,strong_msk,2,神奈川県,ふくむら整形外科,"横浜市戸塚区下倉田町１８６９－１　
横浜戸塚メディカルビル　3階",多血小板血漿（PRP）の投与による変形性関節症治療,0.7062,P00198,横浜整形外科クリニック,多血小板血漿（PRP）による変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2512039/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2512039/5/1
possible_missing,strong_msk,2,神奈川県,ほんだ整形外科クリニック,平塚市明石町1番23号 平塚明石ビル2・3階,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,0.5819,P00198,横浜整形外科クリニック,多血小板血漿（PRP）による変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2105005/5/0
possible_missing,strong_msk,2,神奈川県,センター南ＧＯＴＯクリニック,横浜市都筑区茅ヶ崎中央１－２　センター南光ビル　４階,多血小板血漿抽出液による関節症治療,0.66,P00191,医療法人緑樹会 あおば整形外科,多血小板血漿抽出液による関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C1909033/5/0
possible_missing,strong_msk,2,神奈川県,ヴェルディクリニック,川崎市多摩区菅仙谷4-1-1　東京ヴェルディクラブハウス内,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,0.4471,P00198,横浜整形外科クリニック,多血小板血漿（PRP）による変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2302050/5/0
possible_missing,strong_msk,2,神奈川県,一般社団法人SOL  SOL整形外科鷺沼スポーツクリニック,川崎市宮前区東有馬5-1-2メディカルプラザD2F 3F,多血小板血漿（Platelet-rich plasma：PRP）を用いた変形性関節症治療,0.5311,P00198,横浜整形外科クリニック,多血小板血漿（PRP）による変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2207035/5/0
