lane	queue_index	plan_id	mhlw_plan_code	facility_id	prefecture	facility	category	treatment_class	status	amount	tax	unit	products	makers	document_url	ranking_eligible	merge_status	qc_reason
B	237	P00413	02E2411001	F0128	大阪府	運動器ケア しまだ病院	第二種	PRP	AUTO	100000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2411001/5/0	true	READY_AUTO	
B	237	P00413	02E2411001	F0128	大阪府	運動器ケア しまだ病院	第二種	PRP	AUTO	2000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2411001/5/0	true	READY_AUTO	
B	237	P00413	02E2411001	F0128	大阪府	運動器ケア しまだ病院	第二種	PRP	AUTO	300000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2411001/5/0	true	READY_AUTO	
B	238	P00419	01E2504030	F0129	大阪府	都島整形外科クリニック	第三種	PRP	AUTO	55000	税込		ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504030/5/0	true	READY_AUTO	
B	238	P00419	01E2504030	F0129	大阪府	都島整形外科クリニック	第三種	PRP	AUTO	99000	税込		ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504030/5/0	true	READY_AUTO	
B	238	P00419	01E2504030	F0129	大阪府	都島整形外科クリニック	第三種	PRP	AUTO	198000	税込		ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504030/5/0	true	READY_AUTO	
B	239	P00414	01E2504028	F0129	大阪府	都島整形外科クリニック	第二種	PRP	AUTO	55000	税込		ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504028/5/0	true	READY_AUTO	
B	239	P00414	01E2504028	F0129	大阪府	都島整形外科クリニック	第二種	PRP	AUTO	99000	税込		ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504028/5/0	true	READY_AUTO	
B	239	P00414	01E2504028	F0129	大阪府	都島整形外科クリニック	第二種	PRP	AUTO	198000	税込		ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504028/5/0	true	READY_AUTO	
B	240	P00415	01E2504031	F0129	大阪府	都島整形外科クリニック	第二種	脂肪由来幹細胞	QC	5500000	不明	3 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504031/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	240	P00415	01E2504031	F0129	大阪府	都島整形外科クリニック	第二種	脂肪由来幹細胞	QC	5500	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504031/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	240	P00415	01E2504031	F0129	大阪府	都島整形外科クリニック	第二種	脂肪由来幹細胞	QC	11000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504031/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	240	P00415	01E2504031	F0129	大阪府	都島整形外科クリニック	第二種	脂肪由来幹細胞	QC	66000	不明	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504031/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	240	P00415	01E2504031	F0129	大阪府	都島整形外科クリニック	第二種	脂肪由来幹細胞	QC	2200000	不明	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504031/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	240	P00415	01E2504031	F0129	大阪府	都島整形外科クリニック	第二種	脂肪由来幹細胞	QC	16500	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504031/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	241	P00447	01E2407012	F0134	奈良県	グランソール奈良	第二種	脂肪由来幹細胞	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407012/5/0	false	REVIEW_QC_NO_PRICE	no price found after text/OCR pass
B	242	P00448	02E2412016	F0135	奈良県	一般財団法人 沢井病院	第二種	PRP	AUTO	100000	税込	1 回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2412016/5/0	true	READY_AUTO	
B	242	P00448	02E2412016	F0135	奈良県	一般財団法人 沢井病院	第二種	PRP	AUTO	300000	税込	1 回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2412016/5/0	true	READY_AUTO	
B	243	P00449	01E2510030	F0137	奈良県	医療法人新生会 総合病院 高の原中央病院	第二種	PRP	QC	66000	税込		ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2510030/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	243	P00449	01E2510030	F0137	奈良県	医療法人新生会 総合病院 高の原中央病院	第二種	PRP	QC	330000	不明		APS|GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2510030/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	243	P00449	01E2510030	F0137	奈良県	医療法人新生会 総合病院 高の原中央病院	第二種	PRP	QC	220000	不明		ACP MAX|ACP|APS|GPS	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2510030/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	244	P00455	01E2407016	F0140	奈良県	医療法人興生会 吉本整形外科・外科病院	第三種	PRP	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407016/5/0	false	REVIEW_QC_NO_PRICE	no price found after text/OCR pass
B	245	P00450	01E2407015	F0140	奈良県	医療法人興生会 吉本整形外科・外科病院	第二種	PRP	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407015/5/0	false	REVIEW_QC_NO_PRICE	no price found after text/OCR pass
B	246	P00456	03E2408005	F0138	奈良県	社会医療法人 松本快生会 西奈良中央病院	第三種	PRP	AUTO	110000	税込		GPS|PEAK	Zimmer Biomet|PEAK系	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2408005/5/0	true	READY_AUTO	
B	246	P00456	03E2408005	F0138	奈良県	社会医療法人 松本快生会 西奈良中央病院	第三種	PRP	AUTO	220000	税込		GPS|PEAK	Zimmer Biomet|PEAK系	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2408005/5/0	true	READY_AUTO	
B	247	P00451	03E2408004	F0138	奈良県	社会医療法人 松本快生会 西奈良中央病院	第二種	PRP	AUTO	110000	税込		APS|GPS|PEAK	Zimmer Biomet|PEAK系	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2408004/5/0	true	READY_AUTO	
B	247	P00451	03E2408004	F0138	奈良県	社会医療法人 松本快生会 西奈良中央病院	第二種	PRP	AUTO	220000	税込		APS|GPS|PEAK	Zimmer Biomet|PEAK系	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2408004/5/0	true	READY_AUTO	
B	247	P00451	03E2408004	F0138	奈良県	社会医療法人 松本快生会 西奈良中央病院	第二種	PRP	AUTO	330000	税込		APS|GPS|PEAK	Zimmer Biomet|PEAK系	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2408004/5/0	true	READY_AUTO	
B	248	P00457	01E2607013	F0139	奈良県	社会医療法人高清会 香芝高清会病院	第三種	PRP	AUTO	110000	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2607013/5/0	true	READY_AUTO	
B	249	P00452	01E2607010	F0139	奈良県	社会医療法人高清会 香芝高清会病院	第二種	PRP	AUTO	110000	税込		APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2607010/5/0	true	READY_AUTO	
B	249	P00452	01E2607010	F0139	奈良県	社会医療法人高清会 香芝高清会病院	第二種	PRP	AUTO	341000	税込		APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2607010/5/0	true	READY_AUTO	
B	250	P00453	01E2104001	F0136	奈良県	社会福祉法人 恩賜財団済生会奈良病院	第二種	PRP	AUTO	300000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2104001/5/0	true	READY_AUTO	line-level medium price context
B	250	P00453	01E2104001	F0136	奈良県	社会福祉法人 恩賜財団済生会奈良病院	第二種	PRP	AUTO	100000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2104001/5/0	true	READY_AUTO	line-level medium price context
B	250	P00453	01E2104001	F0136	奈良県	社会福祉法人 恩賜財団済生会奈良病院	第二種	PRP	AUTO	2000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2104001/5/0	true	READY_AUTO	line-level medium price context
