source	name	products	address	source_url
Zimmer Biomet	医療法人社団明徳会 十全記念病院	APS	〒434-0042 静岡県浜松市浜北区小松1700	https://m.kansetsu-life.com/saisei/index.php
Zimmer Biomet	学校法人順天堂 順天堂大学医学部附属静岡病院	APS	〒410-2295 静岡県伊豆の国市長岡1129	https://m.kansetsu-life.com/saisei/index.php
Zimmer Biomet	鈴木整形外科スポーツクリニック	APS	〒430-0907 静岡県浜松市中区高林4-6-14	https://m.kansetsu-life.com/saisei/index.php
Zimmer Biomet	社会福祉法人 聖隷福祉事業団 総合病院 聖隷浜松病院	APS	〒430-8558 静岡県浜松市中区住吉2-12-12	https://m.kansetsu-life.com/saisei/index.php
Zimmer Biomet	浜本整形外科医院	APS	〒420-0805 静岡県静岡市葵区城北40－5	https://m.kansetsu-life.com/saisei/index.php
Zimmer Biomet	医療法人社団志隆 ふくだ整形外科リウマチ科	APS	〒420-0871 静岡県静岡市葵区昭府2丁目18-38	https://m.kansetsu-life.com/saisei/index.php
Zimmer Biomet	医療法人社団平成会 藤枝平成記念病院	APS	〒426-8662 静岡県藤枝市水上123番地1号	https://m.kansetsu-life.com/saisei/index.php
Zimmer Biomet	医療法人全医会 伊藤整形・内科 あいちスポーツ・人工関節クリニック	APS	〒480-0102 愛知県丹羽郡扶桑町高雄郷東41	https://m.kansetsu-life.com/saisei/index.php
Zimmer Biomet	医療法人絢南会 かすがい関節・スポーツ整形外科いたみのクリニック	APS	〒486-0807 愛知県春日井市大手町4-7-1	https://m.kansetsu-life.com/saisei/index.php
Zimmer Biomet	えさき整形外科 リウマチ科	APS	〒457-0003 愛知県名古屋市南区鶴田1-7-26	https://m.kansetsu-life.com/saisei/index.php
Zimmer Biomet	医療法人桂名会 重工大須病院	APS	〒460-0017 愛知県名古屋市中区松原2-17-5	https://m.kansetsu-life.com/saisei/index.php
Zimmer Biomet	医療法人 豊田整形外科	APS	〒471-0823 愛知県豊田市今町6-24-1	https://m.kansetsu-life.com/saisei/index.php
