facility_key	prefecture	facility	manufacturers	manufacturer_count	products	sources
京都府|藍整会なか整形外科京都西院リハビリテーションクリニック	京都府	医療法人藍整会 なか整形外科 京都西院リハビリテーションクリニック	Zimmer Biomet	1	APS	MANUFACTURER_LOCATOR
京都府|康生会たけだ膠原病リウマチクリニック	京都府	医療法人財団康生会 たけだ膠原病リウマチクリニック	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
佐賀県|佐賀県医療センター好生館	佐賀県	佐賀県医療センター好生館	Zimmer Biomet	1	APS|GPS	MANUFACTURER_LOCATOR|MHLW_FULL|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
佐賀県|百武整形外科スポーツクリニック	佐賀県	百武整形外科・スポーツクリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
兵庫県|夢整形外科スポーツクリニック	兵庫県	「夢」整形外科スポーツクリニック	京セラ	1	Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|かいと整形外科リハビリクリニック	兵庫県	かいと整形外科リハビリクリニック	京セラ	1	Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|ささき整形外科リハビリクリニック	兵庫県	ささき整形外科リハビリクリニック	Arthrex|Zimmer Biomet|京セラ	3	ACP|ACP MAX|APS|Condensia|GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|たちはら整形外科肩とスポーツのクリニック	兵庫県	たちはら整形外科・肩とスポーツのクリニック	Arthrex	1	ACP	MANUAL_VERIFIED
兵庫県|やす整形外科クリニック	兵庫県	やす整形外科クリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
兵庫県|三輪整形外科クリニック	兵庫県	三輪整形外科クリニック	Arthrex	1	ACP|ACP-PRP	MANUAL_VERIFIED|MANUFACTURER_LOCATOR
兵庫県|兵庫県立リハビリテーション中央病院	兵庫県	兵庫県立リハビリテーション中央病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
兵庫県|研樹会神戸ルミヴィアクリニック	兵庫県	医療法人 研樹会 神戸ルミヴィアクリニック	Zimmer Biomet|京セラ	2	APS|APS|GPS|Condensia|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|髙倉整形外科クリニック	兵庫県	医療法人社団 髙倉整形外科クリニック	Arthrex|Zimmer Biomet|京セラ	3	ACP|APS|APS|GPS|Angel|Angel|Condensia|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|s&jしばはら整形外科スポーツ関節クリニック	兵庫県	医療法人社団S&J しばはら整形外科スポーツ関節クリニック	Arthrex|Zimmer Biomet	2	ACP|ACP MAX|ACP MAX|ACP|Angel|ACP MAX|ACP|GPS|APS|APS|Angel|Angel|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
兵庫県|さいとう整形外科	兵庫県	医療法人社団さいとう整形外科	Arthrex|ESTAR Technologies|REV-MED|Zimmer Biomet|京セラ	5	ACP|ACP|APS|GPS|TriCeLL|ACP|TriCeLL|MyCells|APS|APS|GPS|TriCeLL|Condensia|GPS|MyCells|TriCeLL	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|リハケア会西川整形外科リハビリクリニック	兵庫県	医療法人社団リハケア会  西川整形外科リハビリクリニック	ESTAR Technologies|Zimmer Biomet	2	APS|GPS|GPS|MyCells|MyCells	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|佳和会中山クリニック	兵庫県	医療法人社団佳和会 中山クリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
兵庫県|大室整形外科脊椎関節クリニック	兵庫県	医療法人社団大室整形外科 脊椎・関節クリニック	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|大雄会大井クリニック	兵庫県	医療法人社団大雄会 大井クリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|慶愛会森口整形外科	兵庫県	医療法人社団慶愛会 森口整形外科	Zimmer Biomet	1	APS|APS|GPS|Zimmer|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|成道会ひろクリニック	兵庫県	医療法人社団成道会 ひろクリニック	Zimmer Biomet	1	GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|成道会神戸関節症クリニック	兵庫県	医療法人社団成道会 神戸関節症クリニック	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
兵庫県|高遼会整形外科たかひろクリニック	兵庫県	医療法人社団高遼会 整形外科たかひろクリニック	Zimmer Biomet	1	APS|APS|GPS	MANUFACTURER_LOCATOR|MHLW_FULL
兵庫県|神戸海星病院	兵庫県	医療法人財団 神戸海星病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED|MANUFACTURER_LOCATOR
兵庫県|増本整形外科クリニック	兵庫県	増本整形外科クリニック	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
兵庫県|木本整形外科クリニック	兵庫県	木本整形外科クリニック	ESTAR Technologies	1	MyCells	MANUAL_VERIFIED
兵庫県|芦屋整形外科スポーツクリニック	兵庫県	芦屋整形外科スポーツクリニック	Arthrex	1	ACP|ACP MAX|Angel	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
兵庫県|藤田整形外科スポーツクリニック	兵庫県	藤田整形外科 スポーツクリニック	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
北海道|五輪橋整形外科病院	北海道	医療法人 五輪橋整形外科病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
北海道|hokule'afクリニックさっぽろ	北海道	医療法人hokule'a fクリニックさっぽろ	Arthrex	1	HD-PRP	MANUAL_VERIFIED
北海道|スポキチスポキチクリニック	北海道	医療法人スポキチ スポキチクリニック	Arthrex	1	ACP	MANUAL_VERIFIED
北海道|悠康会函館整形外科クリニック	北海道	医療法人悠康会 函館整形外科クリニック	Zimmer Biomet	1	APS	MANUAL_VERIFIED
北海道|福亀会札幌中央整形外科クリニック	北海道	医療法人社団 福亀会 札幌中央整形外科クリニック	Arthrex	1	ACP	MANUAL_VERIFIED
北海道|gozenごうだ整形外科	北海道	医療法人社団GOZEN ごうだ整形外科	Arthrex	1	ACP	MANUAL_VERIFIED
北海道|くわのみ会桑園整形外科	北海道	医療法人社団くわのみ会 桑園整形外科	Zimmer Biomet	1	APS	MANUAL_VERIFIED
北海道|みつわ整形外科クリニック	北海道	医療法人社団みつわ整形外科クリニック	Zimmer Biomet	1	APS	MANUAL_VERIFIED
北海道|三慈会釧路三慈会病院	北海道	医療法人社団三慈会 釧路三慈会病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
北海道|悠仁会羊ヶ丘病院	北海道	医療法人社団悠仁会 羊ヶ丘病院	Arthrex	1	ACP	MANUAL_VERIFIED
北海道|松陽会だい整形外科クリニック	北海道	医療法人社団松陽会 だい整形外科クリニック	Arthrex	1	ACP	MANUAL_VERIFIED
北海道|福亀会福住整形外科クリニック	北海道	医療法人社団福亀会 福住整形外科クリニック	Arthrex	1	ACP	MANUAL_VERIFIED
北海道|小樽市立病院	北海道	小樽市立病院	Arthrex	1	ACP	MANUAL_VERIFIED
北海道|整形外科進藤病院	北海道	整形外科進藤病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
北海道|北斗北斗病院	北海道	社会医療法人北斗 北斗病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
北海道|社団朋仁会整形外科北新病院	北海道	社会医療法人社団 朋仁会 整形外科 北新病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
千葉県|平成博愛会印西総合病院	千葉県	医療法人平成博愛会 印西総合病院	Arthrex|Zimmer Biomet	2	ACP|ACP|APS|APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
千葉県|オルソプラスむらた整形外科	千葉県	医療法人社団オルソプラス  むらた整形外科	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
千葉県|仁敬会そがセントラルクリニック	千葉県	医療法人社団仁敬会 そがセントラルクリニック	Arteriocyte Medical Systems	1	MAGELLAN	MANUAL_VERIFIED
千葉県|協友会柏厚生総合病院	千葉県	医療法人社団協友会 柏厚生総合病院	Zimmer Biomet	1	APS|GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
千葉県|南洲会南洲会勝浦クリニック	千葉県	医療法人社団南洲会 南洲会勝浦クリニック	ESTAR Technologies|Zimmer Biomet	2	GPS|MyCells	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
千葉県|奏の杜整形外科	千葉県	医療法人社団奏の杜整形外科	Arthrex|Zimmer Biomet	2	ACP-PRP|APS	MANUFACTURER_LOCATOR
千葉県|実幸会いらはら診療所	千葉県	医療法人社団実幸会 いらはら診療所	京セラ	1	Condensia	MHLW_FULL
